ServiceDate,Route,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount
1/1/2018,2,2-BLANCO RD.,390.63,929,0,0,534,223,19.6,114
1/1/2018,3,3-SAN PEDRO SKIP,106.98,450,0,0,250,71,10.02,33
1/1/2018,4,4-SAN PEDRO,258.14,807,0,0,492,154,18.06,75
1/1/2018,5,5-MC CULLOUGH,120.84,378,0,0,189,72,7.06,36
1/1/2018,8,8-N.ST.MARYS,126.47,307,0,0,163,75,5.31,28
1/1/2018,9,9-BROADWAY,177.9,431,0,0,271,108,5.39,44
1/1/2018,10,10-NACO/BROADWAY /NACO PASS        ,110.76,318,0,0,196,67,7.46,40
1/1/2018,11,11 VIVA Culture,35,68,0,0,19,18,4.94,15
1/1/2018,14,14 Perrin Beitel ,274.68,673,1,0,386,172,10.14,61
1/1/2018,17,17-IH 35 Express,71.75,193,0,0,132,51,4.85,11
1/1/2018,20,20-NEW BRAUNFELS,208.44,771,0,0,376,132,13.9,60
1/1/2018,21,21 KIRBY / CONVERSE,186.16,369,0,0,203,107,9.4,42
1/1/2018,22,22-HAYS                             ,146.25,283,0,0,159,88,7.89,37
1/1/2018,24,24-E.HOUSTON,213.07,438,0,0,240,110,13.01,55
1/1/2018,25,25-EAST COMMERCE,235.93,463,0,0,222,136,16.56,61
1/1/2018,26,26-M.L. KING,105.6,268,0,0,158,62,7.78,32
1/1/2018,28,28-PORTER,258.71,533,1,0,284,160,14.91,69
1/1/2018,30,30-RIGSBY,132.35,305,0,0,153,85,7.31,38
1/1/2018,32,32-STEVES AVE.                      ,92.42,178,0,0,92,55,2.81,23
1/1/2018,34,34-S. ST.MARYS                      ,170.66,408,0,0,237,81,11.15,45
1/1/2018,36,36-S. PRESA ST.,78.18,194,1,0,112,47,9.33,30
1/1/2018,40,40-VIVA Mission,9.65,15,0,0,2,7,0.38,4
1/1/2018,42,42-ROOSEVELT,123.44,335,0,0,212,68,7.97,36
1/1/2018,43,43-S. FLORES,122.14,243,0,0,135,76,9.95,39
1/1/2018,44,44-PLEASANTON RD.,169.36,357,0,0,184,101,12.26,51
1/1/2018,46,46-COMMERCIAL,71.87,159,0,0,97,43,1.78,16
1/1/2018,51,51-NOGALITOS                        ,169.76,481,0,0,250,97,6.24,38
1/1/2018,62,62-KIRK                             ,60.69,93,0,0,50,36,3.51,16
